wmpid,face_url,face_category
WMPID5243,https://www.whitehouse.gov/wp-content/uploads/2021/01/Michael_Regan.jpg?w=600&h=400&crop=1,Cabinet
WMPID5254,https://www.whitehouse.gov/wp-content/uploads/2021/01/Avril_Haines-Blue-Background.png?w=600&h=400&crop=1,Cabinet
WMPID5229,https://www.whitehouse.gov/wp-content/uploads/2021/01/Katherine_Tai.jpg?w=600&h=400&crop=1,Cabinet
WMPID5210,https://www.whitehouse.gov/wp-content/uploads/2021/01/Linda_Thomas-Greenfield.jpg?w=600&h=400&crop=1,Cabinet
WMPID5171,https://www.whitehouse.gov/wp-content/uploads/2021/01/Cecilia_Rouse.jpg?w=600&h=400&crop=1,Cabinet
WMPID5245,https://www.whitehouse.gov/wp-content/uploads/2021/01/Isabel_Guzman.jpg?w=600&h=400&crop=1,Cabinet
WMPID5185,https://www.whitehouse.gov/wp-content/uploads/2022/03/Shalanda-Young-Cabinet-1.jpg?w=600&h=400&crop=1,Cabinet
WMPID5186,https://www.whitehouse.gov/wp-content/uploads/2022/11/Arati-Prabhakar-Cabinet.jpg?w=600&h=400&crop=1,Cabinet
WMPID5244,https://www.whitehouse.gov/wp-content/uploads/2021/01/Jeff-Zients.jpg?w=600&h=400&crop=1,Cabinet
WMPID5215,https://upload.wikimedia.org/wikipedia/commons/thumb/6/61/Anthony_Fauci_2020.jpg/220px-Anthony_Fauci_2020.jpg,PublicHealth
WMPID5242,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Mukhisa_Kituyi%2C_Houlin_Zhao%2C_Tedros_Adhanom_Ghebreyesus_with_Sophia_-_AI_for_Good_Global_Summit_2018_%2841223188035%29_%28cropped%29.jpg/220px-Mukhisa_Kituyi%2C_Houlin_Zhao%2C_Tedros_Adhanom_Ghebreyesus_with_Sophia_-_AI_for_Good_Global_Summit_2018_%2841223188035%29_%28cropped%29.jpg,IntLeader
WMPID5207,https://upload.wikimedia.org/wikipedia/commons/thumb/2/28/Admiral_Rachel_L._Levine.jpg/220px-Admiral_Rachel_L._Levine.jpg,PublicHealth
WMPID5216,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Vivek_Murthy%2C_Surgeon_General_%28profile%29.jpg/220px-Vivek_Murthy%2C_Surgeon_General_%28profile%29.jpg,PublicHealth
WMPID5199,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Rochelle_Walensky%2C_CDC_Director_%28cropped%29.jpg/220px-Rochelle_Walensky%2C_CDC_Director_%28cropped%29.jpg,PublicHealth
WMPID5247,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/Lawrence_A._Tabak_official_portrait.jpg/220px-Lawrence_A._Tabak_official_portrait.jpg,PublicHealth
WMPID5175,https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Robert_M._Califf%2C_FDA_Commissioner.jpg/220px-Robert_M._Califf%2C_FDA_Commissioner.jpg,PublicHealth
WMPID5221,https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Martin_Luther_King%2C_Jr..jpg/220px-Martin_Luther_King%2C_Jr..jpg,HistFigure
